               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.030385,            0.084124,            0.061645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078036,           0.0078036,           0.0078036
                 139,            0.029989,            0.077372,            0.059487,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077876,           0.0077876,           0.0077876
                 140,            0.031483,            0.080842,            0.061169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077715,           0.0077715,           0.0077715
                 141,            0.033533,            0.085823,            0.062958,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077555,           0.0077555,           0.0077555
                 142,            0.034818,             0.10442,            0.062584,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077395,           0.0077395,           0.0077395
                 143,            0.039245,             0.10057,            0.062082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077234,           0.0077234,           0.0077234
                 144,            0.035163,            0.081611,            0.062264,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077074,           0.0077074,           0.0077074
                 145,            0.033729,            0.099534,            0.062324,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076914,           0.0076914,           0.0076914
                 146,            0.031914,             0.10148,             0.05959,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076754,           0.0076754,           0.0076754
                 147,            0.034576,            0.098498,            0.063398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076593,           0.0076593,           0.0076593
                 148,            0.036705,            0.097921,            0.064589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076433,           0.0076433,           0.0076433
                 149,            0.037276,            0.092655,            0.065064,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076273,           0.0076273,           0.0076273
                 150,             0.03654,            0.086704,            0.064669,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076112,           0.0076112,           0.0076112
                 151,            0.032437,            0.091005,            0.062668,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075952,           0.0075952,           0.0075952
                 152,            0.032052,            0.089061,            0.061469,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075792,           0.0075792,           0.0075792
